CÓDIGO OACI,TIPO,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,RAMPA(S) DE APROXIMAÇÃO,FORMATO DA ÁREA DE POUSO,DIMENSÕES,RESISTÊNCIA,SUPERFÍCIE,p1,p2,p3,p4,PORTARIAS,,,,Portaria Nº 291/2016 ,Portaria Nº 2007/2014 e alterações ,OBSERVAÇÃO
SBCD,AERÓDROMO,CARLOS ALBERTO DA COSTA NEVES,CAÇADOR,SC,26° 47' 23'' S,50° 56' 23'' W,1029 m,VFR Diurno/Noturno e IFR Diurno/Noturno,2/20,1625 m,30 m,PCN 25/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2005-0406,0,0,0,PD2005-0406,,,,AD,-,-
SBCF,AERÓDROMO,TANCREDO NEVES,CONFINS,MG,19° 37' 26'' S,43° 58' 17'' W,827 m,VFR Diurno/Noturno e IFR Diurno/Noturno,16/34,3000 m,45 m,PCN 60/F/A/W/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1983-0242,PD1993-0529,0,0,PD1983-0242,PD1993-0529,,,AP-3,-,-
SBCG,AERÓDROMO,CAMPO GRANDE,CAMPO GRANDE,MS,20° 28' 10'' S,54° 40' 13'' W,559 m,VFR Diurno/Noturno e IFR Diurno/Noturno,6/24,2600 m,43 m,PCN 48/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1960-0104,PD1981-0226,0,0,PD1960-0104,PD1981-0226,,,AP-2,2ª,-
SBCH,AERÓDROMO,SERAFIN ENOSS BERTASO,CHAPECÓ,SC,27° 8' 2'' S,52° 39' 43'' W,654 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11/29,2063 m,45 m,PCN 45/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1997-0587,PA2012-1357,0,0,PD1997-0587,PA2012-1357,,,AP-1,2ª,-
SBCI,AERÓDROMO,BRIGADEIRO LYSIAS AUGUSTO RODRIGUES,CAROLINA,MA,7° 19' 14'' S,47° 27' 31'' W,172 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11/29,1800 m,45 m,PCN 18/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2006-0233,0,0,0,PA2006-0233,,,,AP-0,4ª,-
SBCJ,AERÓDROMO,CARAJÁS,PARAUAPEBAS,PA,6° 6' 55'' S,50° 0' 5'' W,629 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,2000 m,45 m,PCN 41/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2013-3204,0,0,0,PA2013-3204,,,,AP-1,2ª,-
SBCM,AERÓDROMO,FORQUILHINHA/CRICIÚMA,FORQUILHINHA,SC,28° 43' 28'' S,49° 25' 17'' W,28 m,VFR Diurno/Noturno e IFR Diurno/Noturno,9/27,1491 m,30 m,PCN 22/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1985-0127,PD1985-0260,PD1990-0252,PD1996-0237,PD1985-0127,PD1985-0260,PD1990-0252,PD1996-0237,AP-1,2ª,-
SBCN,AERÓDROMO,NELSON RODRIGUES GUIMARÃES,CALDAS NOVAS,GO,17° 43' 29'' S,48° 36' 36'' W,685 m,VFR Diurno/Noturno e IFR Diurno/Noturno,9/27,2100 m,30 m,PCN 35/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2007-1408,0,0,0,PA2007-1408,,,,AP-1,2ª,-
SBCP,AERÓDROMO,BARTOLOMEU LISANDRO,CAMPOS DOS GOYTACAZES,RJ,21° 42' 4'' S,41° 18' 28'' W,17 m,VFR Diurno/Noturno e IFR Diurno/Noturno,7/25,1544 m,45 m,PCN 29/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1979-0181,PD1983-0122,0,0,PD1979-0181,PD1983-0122,,,AP-1,2ª,-
SBCR,AERÓDROMO,CORUMBÁ,CORUMBÁ,MS,19° 0' 43'' S,57° 40' 17'' W,141 m,VFR Diurno/Noturno e IFR Diurno/Noturno,9/27,1660 m,30 m,PCN 42/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1976-0133,PD1993-0516,0,0,PD1976-0133,PD1993-0516,,,AP-1,2ª,-
