AEROVIA,FIXO
UA301,RON        
UA301,SASNU      
UA301,SBPJ       
UA301,SIRJ       
UA301,GRAFO      
UA301,KEVAD      
UA301,SBTF       
UA301,SBTT       
UA301,SBUY       
UA301,SELVA      
UA301,SIAQ       
UA301,SIGAX      
UA301,SIGOB      
UA301,SIPAK      
UA301,SIROS      
UA301,SJMV       
UA301,SNDC       
UA301,SWFN       
UA301,SWGN       
UA301,SWPD       
UA301,SWPI       
UA301,SWRD       
UA301,SWSI       
UA301,TIR        
UA301,TOSAR      
UA301,TRS        
UA301,UBKAB      
UA301,UDIDI      
UA301,UDILO      
UA301,UGAGA      
UA301,UMLEV      
UA301,UTPAM      
UA301,VAGAN      
UA301,VODIK      
UA301,VULBU      
UA301,VUMPI      
UA301,ZORRO      
UA301,ARNAM      
UA301,BOBAS      
UA301,ILBEM      
UA301,PUNEN      
UA301,SBTU       
UA301,MONIC      
UA301,BUVIP      
UA301,MASVA      
UA301,MAPVA      
UA301,AKNOV      
UA301,ILRES      
UA301,ALBOM      
UA301,SBRD       
UA301,ERVEL      
UA301,ESLEL      
UA301,KIGUX      
UA301,ISIPA      
UA301,SBIZ       
UA301,ISOLU      
UA301,BRACO      
UA301,BEL        
UA301,SBUA       
UA301,MUPEG      
UA301,PUDLA      
UA301,NEMIG      
UA301,NENIP      
UA301,LUVGI      
UA301,SJOH       
UA301,SDNM       
UA301,KOGMO      
UA301,NAXON      
UA301,SWWW       
UA301,RAXIL      
UA301,ANREV      
UA301,OBGAP      
UA301,OPNUP      
UA301,MOTLA      
UA301,SBCJ       
UA301,SBMD       
UA301,SJKI       
UA301,SNOZ       
UA301,SSPE       
UA301,TEMID      
UA301,TENAP      
UA301,ARUKI      
UA301,ILNAM      
UA301,OPVET      
UA301,TFE        
UA305,SBPA       
UA305,PTS        
UA305,UGELO      
UA305,MLO        
UA305,GENUS      
UA305,POR        
UA305,PONCA      
UA305,SBJV       
UA305,SBKP       
UA305,SBFL       
UA305,DEUCA      
UA305,EKUBI      
UA305,FEITO      
UA305,GAMOT      
UA305,SBGR       
UA305,SBGL       
UA305,CALVE      
UA305,SASNU      
UA305,AKNUB      
UA305,SSXX       
UA305,ARGOS      
UA305,JUICE      
UA305,SBPK       
UA305,SJRG       
UA305,SSKM       
UA305,SBBI       
UA305,SBRJ       
UA305,AKPOD      
UA305,BITOV      
UA305,OAS        
UA305,CXS        
UA305,OGNAV      
UA305,SBCG       
UA305,NEGUS      
UA305,GEBUN      
UA305,POSLA      
UA305,OPROR      
UA305,NANDU      
UA305,KOLBI      
UA305,PUNTO      
UA305,SBCT       
UA305,EGBIP      
UA308,ABELA      
UA308,BITAK      
UA308,ETANO      
UA308,MLO        
UA308,OGRUN      
UA308,POR        
UA308,SBGL       
UA308,SBPA       
UA308,TORON      
UA309,GENUS      
UA309,POR        
UA309,PTS        
UA309,UGURA      
UA310,NADAR      
UA310,OCASO      
UA310,PONCA      
UA310,SBCF       
UA310,SBGL       
UA310,VTR        
UA310,ANISE      
UA310,SARA       
UA310,SBPA       
UA310,ASDEK      
UA310,BRETA      
UA310,CGO        
UA310,CLUNG      
UA310,CTB        
UA310,DIONI      
UA310,EAGLE      
UA310,GAVEL      
UA310,JUMBO      
UA310,LACON      
UA310,LUCAS      
UA310,MLO        
UA310,OROKA      
UA310,PONTE      
UA310,SBCT       
UA310,SBGR       
UA310,SBKP       
UA310,SBSP       
UA310,SCB        
UA310,PREGO      
UA310,NEGUS      
UA310,PNG        
UA310,RONUT      
UA310,CPN        
UA310,ORANA      
UA310,TIGDA      
UA310,MUMIL      
UA310,NEBID      
UA310,RDE        
UA310,IVSOB      
UA310,SBFL       
UA310,DELAY      
UA310,DOGSU      
UA310,EKALO      
UA310,GEDEL      
UA310,SASNU      
UA310,SDCO       
UA310,MUBET      
UA310,ANDOR      
UA310,DARCI      
UA310,ERVAS      
UA310,SIDUR      
UA310,UMRIM      
UA310,URUTU      
UA310,VUNTU      
UA310,SBBH       
UA310,SBCG       
UA310,MALEV      
UA310,NAFIL      
UA310,SBLO       
UA310,SBMT       
UA310,SIPOR      
UA310,FLN        
UA310,FLORI      
UA310,GEBUN      
UA310,TILKI      
UA310,TOSAR      
UA310,SDAM       
UA310,ANPAX      
UA310,SBBI       
UA310,SBJD       
UA310,ALVOX      
UA310,BSCWD      
UA310,TENUD      
UA310,EGBIP      
UA310,EKUBI      
UA310,JUICE      
UA310,KIMUV      
UA310,NITGO      
UA310,OPROR      
UA310,BAKER      
UA310,LADER      
UA310,KOLBU      
UA310,BGE        
UA310,SSPI       
UA310,TOBTO      
UA310,TOGON      
UA310,CNF        
UA310,UGELO      
UA310,AMERO      
UA310,MAGNA      
UA310,GEMUV      
UA310,SEGNO      
UA310,GRD        
UA310,MUNOR      
UA310,SBDN       
UA310,CURSE      
UA310,MABSI      
UA310,SBVT       
UA310,SDTK       
UA310,AKNEN      
UA310,SSBC       
UA310,OGNAV      
UA310,SNBM       
UA310,AKVIS      
UA310,ATARI      
UA310,AULIC      
UA310,BBC        
UA310,ISALA      
UA310,ISOBU      
UA310,KOLTU      
UA310,PANAM      
UA310,SBFI       
UA310,SBMG       
UA310,SBRJ       
UA310,SJEG       
UA310,BCO        
UA310,OPNID      
UA310,SBSM       
UA310,PAJAM      
UA310,SSOQ       
UA310,AKPOD      
UA310,ISIBI      
UA310,BSCWF      
UA312,SOBOL      
UA312,TRIVI      
UA312,VARSO      
UA312,ZELAN      
UA312,ABSAL      
UA312,BBC        
UA312,BELIA      
UA312,FRM        
UA312,XUXUM      
UA312,AKSUG      
UA312,MOPDA      
UA312,REIXX      
UA312,DEJAN      
UA312,PCX        
UA312,SBGL       
UA312,MEVOS      
UA312,NITRO      
UA312,PROVE      
UA312,PROXX      
UA312,REINA      
UA312,DOMGI      
UA312,EGBAM      
UA312,EKUBA      
UA312,FLAND      
UA312,SBRJ       
UA312,ACARI      
UA312,ILBEM      
UA312,KABAD      
UA312,LONAS      
UA312,OBDEM      
UA312,STM        
UA312,UGAGA      
UA312,ASOLA      
UA312,ATF        
UA312,AZOIC      
UA312,BOBAS      
UA312,BOMAL      
UA312,BRACO      
UA312,CIA        
UA312,EKUGI      
UA312,SBCY       
UA312,SBEG       
UA312,SBHT       
UA312,SBIZ       
UA312,SBMA       
UA312,SBMY       
UA312,SBPV       
UA312,SBRB       
UA312,SBSL       
UA312,SBSN       
UA312,ESLEL      
UA312,ISARA      
UA312,KILEV      
UA312,KODPU      
UA312,KOTPA      
UA312,LET        
UA312,LIMPO      
UA312,LITUP      
UA312,LIVAB      
UA312,MALMI      
UA312,MANSI      
UA312,MIGOB      
UA312,MITU       
UA312,MOLPA      
