Fix,Latitude,Longitude
KOTEG,S 22 41 24.60,W 051 17 10.20
KOTET,S 15 55 14.40,W 056 26 48.60
KOTIL,S 25 50 31.54,W 049 49 19.14
KOTIR,S 07 11 29.37,W 034 47 22.87
KOTLO,S 04 21 43.00,W 048 57 49.00
KOTOL,S 25 32 00.60,W 048 53 29.40
KOTPA,S 22 15 07.20,W 049 32 19.80
KOTRA,S 21 13 55.80,W 046 57 44.40
KOTRU,S 22 09 57.00,W 047 08 21.60
KOTSA,S 12 14 22.71,W 039 08 30.01
KOTUB,S 29 54 18.60,W 050 55 32.40
KOTVO,N 05 00 00.00,W 043 00 00.00
KOTVU,S 15 51 01.70,W 047 43 30.80
KOVDU,S 30 12 14.41,W 051 50 44.46
KOVED,S 20 05 47.79,W 044 36 32.39
KOVGA,S 22 59 48.60,W 047 21 48.60
KOVGI,S 29 43 21.80,W 051 19 22.88
KOVGO,S 23 18 31.63,W 043 16 15.01
KOVIR,S 15 59 31.80,W 039 35 45.00
KOVKO,S 11 06 18.00,W 065 18 55.80
KOVLA,S 23 20 25.53,W 046 29 58.10
KOVMO,S 19 39 04.77,W 043 58 01.21
KOVMU,S 24 56 50.89,W 047 40 49.49
KOVOM,S 09 18 58.80,W 035 25 11.40
KOVOP,S 03 49 30.00,W 032 32 38.40
KOVRI,S 10 45 33.00,W 038 03 00.71
KOVSO,S 25 28 33.00,W 054 01 27.60
KOVTI,S 05 31 39.60,W 048 25 23.40
KOVTO,S 04 50 19.80,W 065 48 10.80
KOVUL,S 19 16 45.00,W 043 35 15.60
KOVUM,S 04 58 37.20,W 065 47 24.00
KOXAG,S 25 08 35.22,W 046 58 44.10
KOXAL,S 19 20 07.80,W 055 01 12.00
KOXEK,S 04 26 28.80,W 065 16 34.20
KOXID,S 30 49 53.92,W 051 49 44.23
KOXIR,S 06 29 37.16,W 042 04 43.09
KOXIS,S 18 47 25.80,W 052 13 33.00
KOXIT,S 12 44 22.69,W 039 30 47.32
KP001,S 23 10 54.01,W 047 27 09.04
KP002,S 23 26 10.17,W 047 29 20.54
KP003,S 23 04 48.77,W 047 01 53.50
KP004,S 23 13 38.42,W 046 28 20.30
KP006,S 22 48 09.35,W 046 22 01.26
KP007,S 22 50 01.25,W 046 26 40.19
KP008,S 22 33 30.05,W 047 29 11.85
KP009,S 22 29 36.93,W 047 00 25.17
KP011,S 22 39 26.71,W 047 07 04.38
KP012,S 23 17 20.44,W 047 13 26.87
KP013,S 23 09 31.07,W 046 53 42.48
KP016,S 23 28 45.50,W 047 28 01.03
KP017,S 23 30 17.66,W 047 28 07.87
KP018,S 23 10 58.96,W 046 34 12.10
KP021,S 23 03 48.89,W 047 16 26.62
KP022,S 22 58 28.14,W 047 00 01.44
KP023,S 23 15 30.44,W 046 35 48.81
KP024,S 22 50 49.98,W 046 59 59.67
KP026,S 22 45 56.45,W 047 01 16.04
KP028,S 23 10 11.03,W 046 36 24.98
KP061,S 22 56 50.20,W 047 13 06.30
KP063,S 23 04 03.03,W 047 03 01.85
KP101,S 22 52 35.07,W 047 08 17.49
KP102,S 22 55 20.94,W 047 13 34.16
KP103,S 22 57 24.14,W 047 12 19.00
KP701,S 22 12 08.75,W 046 48 38.53
KRAB,S 30 07 28.20,W 051 17 19.80
KRIS,S 29 00 37.20,W 050 59 58.20
KUBAM,S 05 47 17.81,W 035 09 33.50
KUBEX,S 19 55 54.96,W 043 43 23.78
KUBID,S 03 04 03.60,W 059 13 03.60
KUBLO,S 26 20 15.04,W 047 55 17.91
KUBSU,S 29 56 06.72,W 053 46 59.28
KUBTO,S 05 43 28.80,W 035 38 38.40
KUBVI,S 23 34 32.40,W 047 26 15.27
KUDGI,S 23 17 13.30,W 047 09 42.38
KUDGU,S 19 38 30.48,W 044 03 17.06
KUDIL,S 27 35 53.25,W 048 40 30.61
KUDKU,S 06 46 46.00,W 073 37 53.00
KUDMA,S 29 59 58.42,W 050 52 45.91
KUDOT,S 25 27 52.83,W 049 14 59.31
KUDPU,S 25 34 00.89,W 049 31 32.70
KUDRA,S 02 54 13.80,W 059 59 25.80
KUDRI,S 23 47 46.20,W 052 32 16.80
KUDSI,S 22 59 10.24,W 043 59 03.62
KUDUD,S 23 19 16.74,W 046 57 02.57
KUGAN,S 19 20 30.28,W 053 01 04.37
KUGIK,S 27 26 25.40,W 050 26 00.24
KUGIL,S 12 59 51.58,W 057 29 32.76
KUGLA,S 23 40 35.31,W 046 22 34.65
KUGOL,S 11 27 33.60,W 062 55 25.20
KUGOV,S 23 22 24.99,W 043 32 47.30
KUGPO,S 19 19 09.86,W 049 51 21.98
KUGUS,S 03 50 19.80,W 038 18 24.00
KUGUT,S 19 42 12.60,W 043 45 47.40
KUKAB,S 07 23 35.58,W 039 30 53.37
KUKOL,S 16 41 22.80,W 048 26 54.00
KUKOX,S 29 41 12.48,W 051 38 43.18
KULAB,S 02 51 16.68,W 058 29 50.79
KULEP,S 08 32 15.60,W 033 22 33.00
KULER,S 16 50 04.20,W 038 55 59.40
KULIV,S 04 25 16.61,W 059 28 08.81
KUMEV,S 19 42 24.50,W 043 54 04.10
KUMIT,S 03 02 24.00,W 059 56 59.40
KUMIX,N 05 24 30.00,W 060 55 17.40
KUMON,S 22 03 50.98,W 045 12 55.77
KUMOS,S 00 46 30.38,W 059 39 44.43
LACE,S 08 47 50.56,W 063 53 49.03
LACON,S 30 55 25.80,W 053 05 55.80
LADER,S 26 08 33.00,W 054 05 54.00
LADO,S 00 10 57.00,W 051 27 25.20
LAMA,S 12 53 07.19,W 038 10 09.62
LAMB,S 28 15 13.20,W 052 42 39.60
LANCE,S 06 26 04.20,W 066 20 24.60
LAUPO,S 03 04 14.40,W 059 27 33.60
LB001,S 22 08 20.73,W 039 54 21.40
LB002,S 22 08 29.12,W 039 55 51.17
LB003,S 22 09 05.02,W 040 02 16.96
LB006,S 22 02 53.73,W 040 10 30.25
LB007,S 22 01 53.08,W 040 05 13.95
LB008,S 22 03 39.10,W 039 58 32.27
LB009,S 22 04 31.49,W 039 55 13.34
LB010,S 22 06 09.52,W 039 49 00.25
LEBON,S 26 53 18.00,W 050 40 49.80
LEDA,S 13 42 12.00,W 038 14 52.20
LEMIS,S 04 29 48.09,W 048 26 13.23
LENOX,S 28 15 03.60,W 048 41 27.60
LIBEC,S 11 17 27.00,W 048 17 56.40
LIBRA,S 16 30 56.40,W 041 21 49.20
LIGIE,S 28 15 44.00,W 054 17 20.30
LIMPO,S 04 53 03.60,W 072 21 59.40
LINS,S 21 39 48.00,W 049 44 01.00
LISAN,S 15 57 40.20,W 054 07 48.00
LISBO,S 17 40 01.20,W 045 10 12.00
LITOG,S 08 48 12.60,W 063 53 46.80
LITOK,S 22 17 01.79,W 055 51 30.05
LITON,S 23 26 48.00,W 046 37 44.40
LITOP,S 22 58 42.60,W 047 20 30.50
LITRE,S 23 39 16.20,W 045 00 26.40
LITUB,S 19 33 05.40,W 048 22 45.00
LITUL,S 06 46 42.00,W 038 28 27.60
LITUP,S 08 58 09.00,W 072 17 25.00
LITUS,S 19 17 45.46,W 051 17 00.87
LIVAB,S 11 13 18.49,W 051 54 03.81
LIVAD,S 11 16 39.00,W 042 36 21.00
LIVAM,S 19 31 27.60,W 039 19 27.60
LIVAP,S 00 51 46.20,W 062 18 36.60
LIVAT,S 23 40 51.59,W 046 59 07.35
LIVED,S 22 36 06.60,W 046 37 42.60
LIVER,S 19 12 28.20,W 052 49 28.20
LIVEV,S 16 04 11.40,W 047 50 39.00
LIVIP,S 27 22 14.78,W 050 58 03.27
LIVIS,N 02 34 22.80,W 060 30 10.20
LIVOD,S 21 51 51.49,W 040 55 12.62
LIXA,S 22 47 53.58,W 043 16 08.51
LIXEP,S 22 37 47.74,W 043 40 41.39
LIXID,S 23 28 34.38,W 045 00 49.80
LIXIP,S 03 16 57.97,W 060 15 31.72
LIXON,N 01 14 07.12,W 047 03 15.18
LIXUG,S 22 44 51.60,W 043 02 37.20
LIXUV,S 05 44 51.60,W 035 27 40.20
LIZA,S 16 46 54.00,W 049 25 09.60
LI001,S 22 35 43.77,W 040 18 59.20
LI002,S 22 34 14.22,W 040 18 46.60
LI003,S 22 33 27.27,W 040 25 12.25
LI004,S 22 35 47.35,W 040 05 55.08
LI031,S 22 40 13.08,W 040 20 06.22
LI032,S 22 41 23.04,W 040 14 50.70
LI033,S 22 40 33.95,W 040 11 19.40
LI034,S 22 39 47.10,W 040 07 58.03
LI035,S 22 38 33.74,W 040 02 43.47
LOAN,S 24 52 07.20,W 053 43 33.00
LOBAN,S 19 06 28.20,W 044 19 10.20
LOBAT,S 23 05 13.15,W 045 43 40.97
LOBIK,S 22 46 11.51,W 041 35 27.24
LOBON,S 15 15 51.00,W 060 35 19.00
LOBOR,S 30 49 04.80,W 053 39 07.20
LOBUG,S 19 19 40.20,W 043 40 04.20
LOBUX,S 03 02 21.91,W 059 52 15.40
LODEK,S 10 54 09.48,W 048 05 17.33
LODET,S 23 37 38.24,W 051 54 54.16
LODIL,S 10 58 15.52,W 061 57 40.00
LODOG,S 23 32 44.37,W 045 20 21.43
LODOK,S 00 39 57.60,W 057 47 16.80
LODUM,S 21 40 40.80,W 041 02 21.00
LODUR,S 26 52 55.80,W 053 41 13.20
LODUV,S 16 22 40.20,W 048 48 49.80
LOGAV,S 12 56 41.20,W 038 30 11.90
LOGER,S 15 52 10.20,W 055 44 25.80
LOGIB,S 21 23 28.58,W 044 24 30.91
LOGIR,S 03 47 38.38,W 038 28 00.30
LOGOX,S 04 53 02.40,W 038 46 52.20
LOGUV,S 30 05 19.38,W 051 11 19.98
LOKAM,S 23 07 14.72,W 046 55 14.40
LOKAR,S 21 33 59.30,W 048 27 07.58
LOKEL,S 11 15 17.66,W 055 27 04.93
LOKEV,S 05 43 12.60,W 035 33 57.60
LOKIB,S 05 15 49.93,W 036 13 38.44
LOKIM,S 11 20 00.00,W 015 00 00.00
LOKUM,S 15 41 43.20,W 052 49 57.60
LOLAG,S 23 49 25.19,W 047 17 41.09
LOLAL,S 19 24 30.57,W 041 53 29.94
LOLER,N 04 42 06.00,W 060 51 17.40
LOLIP,S 14 53 06.60,W 041 12 34.20
LOLUK,S 08 16 02.40,W 034 46 13.80
LOMEV,S 27 36 50.48,W 048 38 51.57
LOMI,S 29 52 00.00,W 050 49 34.20
LOMIB,S 25 41 26.84,W 049 30 05.32
LOMOK,S 08 00 52.00,W 037 42 45.00
LOMUL,S 16 39 27.54,W 049 52 28.95
LOMUT,S 28 49 51.00,W 050 41 32.40
LONAL,S 22 04 33.94,W 047 49 14.06
LONEG,S 21 39 48.64,W 051 08 59.29
LONEN,S 12 18 30.93,W 037 36 19.64
LONES,S 23 01 49.86,W 045 55 24.00
LON01,S 23 10 37.94,W 051 09 21.93
LON02,S 23 13 50.60,W 051 15 00.01
LON04,S 23 23 42.36,W 051 17 00.11
LON05,S 23 26 29.73,W 051 15 21.69
LON06,S 23 28 12.12,W 050 59 57.32
LON07,S 23 20 58.92,W 050 55 54.32
LON09,S 23 15 46.52,W 050 57 05.71
LOPES,S 23 27 42.60,W 045 54 51.60
LOTA,S 22 48 36.60,W 043 16 23.40
LOTAR,S 12 14 12.60,W 038 18 31.20
LOTE,S 04 55 19.20,W 049 03 41.40
LOVIS,S 09 31 04.80,W 046 31 01.80
LO002,S 23 32 33.60,W 050 59 43.80
LO003,S 23 32 33.60,W 051 08 36.60
LO004,S 23 18 47.40,W 051 11 27.00
LO008,S 23 10 25.80,W 051 18 25.80
LO011,S 23 21 03.60,W 051 22 36.60
LO012,S 23 16 27.00,W 051 18 25.20
LO013,S 23 18 10.20,W 051 13 19.20
LO016,S 23 29 39.00,W 050 57 00.00
LO017,S 23 19 01.20,W 050 52 49.20
LO018,S 23 23 37.80,W 050 57 00.60
LO019,S 23 21 55.20,W 051 02 07.20
LO101,S 23 14 44.00,W 051 23 30.40
LO107,S 23 19 53.11,W 051 08 11.90
LO108,S 23 25 20.22,W 050 51 53.69
LO112,S 23 23 37.89,W 050 57 00.41
LO113,S 23 21 55.38,W 051 02 07.00
LO114,S 23 20 12.71,W 051 07 13.45
LO131,S 23 19 53.09,W 051 08 11.94
LO200,S 23 16 36.39,W 051 09 13.20
LO201,S 23 15 09.99,W 051 02 13.42
LO202,S 23 13 54.50,W 051 08 35.68
LO203,S 23 16 58.03,W 051 12 10.87
LO204,S 23 19 11.98,W 051 10 14.43
LO205,S 23 21 47.56,W 051 11 15.70
LO206,S 23 27 51.97,W 051 08 24.09
LO207,S 23 23 50.78,W 051 13 15.48
LO208,S 23 19 45.53,W 051 13 16.86
LO221,S 23 23 28.09,W 050 50 29.23
LO222,S 23 28 51.06,W 050 53 45.35
LO317,S 23 19 02.73,W 051 10 41.78
LUANA,S 21 04 43.35,W 052 10 48.94
LUCAS,S 25 00 50.40,W 048 42 09.00
LUCIA,S 26 34 18.00,W 054 48 54.00
LUCNA,S 22 16 01.11,W 043 08 24.00
LUDO,S 10 26 33.00,W 055 45 25.80
LUIZA,S 01 58 48.00,W 048 47 03.00
LUNAT,S 22 14 01.20,W 043 59 15.00
LUPEX,S 22 47 42.00,W 045 58 02.40
LUPTA,S 25 32 19.06,W 049 24 46.16
LUSUK,S 03 05 19.20,W 060 47 21.60
LUTPA,S 00 47 48.24,W 048 09 32.27
LUTPO,S 23 31 16.80,W 046 10 42.60
LUTVA,S 13 59 52.80,W 040 47 01.80
LUTVI,S 22 17 57.84,W 050 10 16.31
LUVDI,S 23 29 35.90,W 046 48 21.77
LUVDO,N 02 03 00.73,W 046 36 38.59
LUVGI,S 08 08 46.58,W 048 11 40.33
LUVLA,S 15 59 26.73,W 048 10 58.58
LUVLO,S 23 58 55.47,W 047 15 35.81
LUVLU,S 13 04 54.00,W 061 33 43.00
LUVMA,S 02 30 35.40,W 060 31 56.40
LUVNU,S 07 06 49.40,W 051 32 03.46
LUVRA,S 22 31 52.20,W 040 57 19.80
LUVSU,S 17 33 27.00,W 046 33 30.60
LUVTI,S 14 03 03.60,W 055 12 16.20
LUZI,S 19 42 58.80,W 043 53 27.00
LUZ01,S 16 04 39.19,W 047 57 31.04
LUZ02,S 16 04 50.63,W 047 53 20.51
MABGO,S 21 55 14.44,W 048 19 38.74
MABGU,S 00 59 58.20,W 048 44 39.60
MABKI,S 09 52 13.81,W 053 50 49.86
MABMA,S 16 42 33.00,W 053 06 03.00
MABNA,S 08 30 19.80,W 034 47 52.20
MABSI,S 20 54 06.00,W 040 34 03.00
MABSO,S 20 28 55.80,W 040 03 55.80
MACA,S 27 41 12.00,W 050 38 11.40
MADKO,S 05 44 33.32,W 041 42 12.37
MADNI,S 24 36 26.94,W 047 00 32.56
MADOK,S 16 55 27.60,W 045 49 15.00
MADRE,N 00 42 38.40,W 049 55 24.60
MADRI,S 24 49 06.00,W 049 09 18.00
MADVA,N 03 10 12.00,W 060 34 54.00
MAGAL,S 10 37 49.80,W 037 29 57.60
MAGDA,S 15 41 51.00,W 055 25 20.40
MAGNA,S 27 55 34.20,W 052 46 21.60
MAGNO,S 01 44 37.80,W 035 27 39.00
MAKIT,S 22 07 12.60,W 040 33 11.40
MAKMO,S 18 35 56.57,W 048 47 49.75
MAKRI,S 09 04 33.00,W 063 50 04.20
MAKTI,S 23 23 55.59,W 043 11 47.18
MAKVA,S 23 07 06.47,W 045 45 25.95
MALBA,S 14 47 04.80,W 044 34 37.80
MALBU,S 22 23 58.20,W 039 39 57.00
MALDI,S 22 36 27.60,W 041 01 36.00
MALDO,S 07 19 57.56,W 072 37 22.34
MALDU,S 22 53 07.20,W 043 02 41.40
MALEV,S 24 34 50.40,W 050 01 21.60
MALMI,S 12 11 01.00,W 053 03 03.60
MALPO,S 20 22 05.60,W 043 28 56.06
MALPU,S 02 56 48.60,W 059 19 20.40
MALRA,S 14 52 40.80,W 043 43 10.20
MAMGI,S 03 45 14.40,W 058 37 16.20
MAMKA,S 22 35 51.00,W 039 44 07.80
MAMSU,S 22 58 33.60,W 039 57 52.80
MAMTA,S 23 03 09.00,W 044 10 35.40
MAMTI,S 23 38 20.03,W 052 02 19.48
MANDO,S 22 27 21.60,W 040 54 00.60
MANDU,S 19 04 48.00,W 042 29 57.60
MANLO,S 23 47 49.89,W 045 24 29.69
MANPA,S 05 19 54.00,W 037 25 27.60
MANPI,S 12 04 31.80,W 040 32 15.00
MANSE,S 22 45 42.60,W 047 32 13.80
MANSI,S 15 09 27.00,W 053 28 39.00
MANVA,S 23 41 07.83,W 046 52 36.31
MAPDU,S 22 33 25.80,W 047 04 33.00
MAPGA,S 19 39 01.84,W 046 45 27.10
MAPGI,S 09 49 46.75,W 067 44 35.27
MAPLU,N 05 00 00.00,W 041 00 00.00
MAPMA,S 21 56 28.80,W 039 37 18.60
MAPMI,S 21 29 51.60,W 045 33 54.60
MAPMO,S 02 56 15.72,W 060 13 41.58
MAPRO,S 22 22 44.40,W 040 34 57.60
MAPVA,S 07 32 13.00,W 070 00 27.00
MAPVI,S 18 40 55.14,W 048 48 34.21
MAPVU,S 13 24 20.40,W 038 51 46.20
MARBA,S 22 09 27.00,W 039 38 25.20
MARPU,S 23 23 47.37,W 046 41 21.28
MARSU,S 14 32 10.00,W 039 36 50.00
MARY,S 29 13 51.60,W 049 22 42.60
MASDI,S 22 13 55.80,W 045 35 10.80
MASDU,S 03 04 48.60,W 059 38 24.60
MASGA,S 23 05 28.80,W 040 05 43.80
MASGI,S 07 33 15.00,W 056 00 39.00
MASLU,S 23 34 52.80,W 044 59 52.20
MASON,S 07 33 21.00,W 065 13 16.20
MASPI,S 22 41 01.20,W 040 48 35.40
MASTU,S 12 31 21.72,W 039 21 06.21
MASVA,S 09 37 17.01,W 048 22 03.88
MASVO,S 15 48 32.00,W 053 19 13.00
MASVU,S 02 02 39.00,W 052 28 06.00
MATA,S 04 02 40.20,W 055 37 02.40
MATEL,S 25 13 27.60,W 053 52 56.40
MATEU,S 24 47 38.10,W 053 41 56.10
MATI,S 00 09 57.00,W 050 40 46.80
MATKA,S 21 16 07.80,W 049 18 56.40
MATKI,S 19 13 12.60,W 047 10 51.60
MATKO,S 24 39 56.80,W 049 30 34.66
MATMU,S 03 14 15.60,W 052 34 50.40
MATNI,S 15 48 42.60,W 047 05 23.40
MATSA,S 27 48 52.80,W 048 16 26.40
MAURU,S 14 08 45.00,W 038 33 41.40
MAVBO,S 20 44 39.40,W 044 58 11.77
MAVGU,S 21 27 20.04,W 044 08 59.08
MAVKA,S 23 20 12.60,W 045 57 41.40
MAVKI,S 15 52 45.45,W 048 09 28.29
MAVKO,N 05 00 00.00,W 040 00 00.00
MAVMO,S 21 46 35.53,W 045 28 17.34
MAVNI,S 17 29 22.80,W 047 24 53.40
MAVRO,S 29 59 50.40,W 051 01 50.40
MAVRU,S 04 26 27.00,W 065 15 48.00
MAVSI,S 30 21 05.19,W 051 29 27.52
MAZAR,S 06 57 36.60,W 064 32 30.60
MA001,S 05 32 40.20,W 049 21 04.80
MA002,S 05 34 32.40,W 049 14 25.80
MA003,S 05 25 47.40,W 049 21 37.20
MA004,S 05 28 51.00,W 049 16 26.40
MA006,S 05 25 39.60,W 049 12 34.20
MA007,S 05 11 33.00,W 048 55 29.40
MA008,S 05 09 42.00,W 049 02 08.40
MA009,S 05 18 27.00,W 048 54 57.00
MA011,S 05 15 22.80,W 049 00 07.80
MA012,S 05 18 34.80,W 049 04 00.00
MA013,S 05 26 03.60,W 049 00 26.40
MA014,S 05 24 22.80,W 049 11 01.20
MA016,S 05 18 10.80,W 049 16 07.20
MA023,S 05 19 51.60,W 049 05 32.40
MCA01,S 22 40 18.41,W 041 41 41.82
MCA02,S 22 37 31.25,W 041 57 51.89
MCA03,S 22 47 06.76,W 043 36 24.57
MEBDA,S 22 29 23.40,W 040 37 42.00
MEBGA,S 22 25 09.60,W 044 06 56.40
MEBLU,S 18 41 18.00,W 045 17 59.40
MEBNU,N 00 30 12.65,W 039 55 59.47
MEDAL,S 00 49 58.20,W 031 05 11.40
MEDI,S 22 10 55.80,W 040 37 28.80
MEDIT,S 11 07 41.40,W 036 14 11.40
MEDLE,S 04 48 58.80,W 065 18 56.40
MEDO,S 09 30 06.00,W 067 41 53.40
MELEM,S 09 09 48.00,W 021 41 19.20
MELIN,S 12 04 53.40,W 038 18 18.00
MENDS,S 22 34 42.00,W 047 13 11.40
MERA,S 01 58 57.00,W 055 18 42.60
MEVOG,S 18 56 13.19,W 048 14 59.53
MEVUT,S 22 15 05.22,W 048 12 37.49
MEXAR,S 00 16 14.40,W 050 29 24.00
MEXEK,S 05 41 56.40,W 035 38 48.60
MEXEP,S 20 21 27.90,W 054 14 41.80
MEXIX,S 11 00 56.88,W 040 35 24.91
MEXOK,S 19 31 14.44,W 043 31 48.94
ME001,S 22 23 32.07,W 041 48 03.13
ME002,S 22 26 02.96,W 041 49 49.92
ME003,S 22 24 23.63,W 041 52 32.18
ME004,S 22 27 42.24,W 041 47 07.59
ME006,S 22 28 33.83,W 041 51 36.77
ME007,S 22 12 35.56,W 041 40 19.43
ME008,S 22 17 37.49,W 041 43 52.50
ME009,S 22 15 06.54,W 041 42 05.93
ME010,S 22 16 45.69,W 041 39 23.72
ME011,S 22 13 27.34,W 041 44 48.08
ME023,S 22 19 10.60,W 041 42 47.59
ME024,S 22 20 03.77,W 041 42 47.55
ME025,S 22 20 46.39,W 041 42 53.73
ME026,S 22 21 20.93,W 041 43 12.17
ME027,S 22 21 50.70,W 041 43 32.71
ME028,S 22 23 01.04,W 041 44 44.55
ME371,S 22 25 02.60,W 041 49 07.30
ME372,S 22 29 14.00,W 041 52 05.40
ME373,S 22 34 15.70,W 041 55 39.30
ME374,S 22 34 03.80,W 041 48 13.10
ME381,S 22 16 07.00,W 041 42 48.50
ME382,S 22 11 55.40,W 041 39 50.90
ME383,S 22 06 53.40,W 041 36 18.10
ME384,S 22 13 18.60,W 041 33 33.40
MG100,S 23 31 48.22,W 052 03 05.50
MG102,S 23 34 33.76,W 052 03 05.55
MG103,S 23 31 04.21,W 052 05 58.58
MG103,S 23 25 46.95,W 052 16 13.27
MG104,S 23 29 06.34,W 052 03 43.09
MG105,S 23 26 24.45,W 052 04 20.66
MG107,S 23 28 09.41,W 052 06 39.44
MG108,S 23 24 16.56,W 052 10 06.16
MG109,S 23 19 37.03,W 052 14 13.96
MG110,S 23 25 19.67,W 051 58 53.17
MG111,S 23 30 04.98,W 051 44 38.72
MG114,S 23 28 01.53,W 051 58 15.50
MG117,S 23 26 03.54,W 051 56 00.18
MG118,S 23 23 29.15,W 051 56 39.61
MG119,S 23 21 48.17,W 051 58 17.70
MG121,S 23 26 05.55,W 051 43 14.04
MG122,S 23 17 19.16,W 052 02 38.72
MG123,S 23 27 49.70,W 051 57 11.44
MG124,S 23 29 18.86,W 052 04 46.45
MG131,S 23 29 44.12,W 052 06 54.57
MG132,S 23 30 53.22,W 052 12 45.69
MG134,S 23 31 49.59,W 052 17 33.04
MG136,S 23 36 50.92,W 052 13 40.06
MG281,S 23 27 23.57,W 051 55 04.10
MG282,S 23 26 13.81,W 051 49 13.29
MG283,S 23 31 19.47,W 051 45 44.66
MG284,S 23 25 16.57,W 051 44 26.34
MG286,S 23 20 15.96,W 051 48 20.09
MG362,S 23 29 44.10,W 052 06 54.60
MG363,S 23 30 46.90,W 052 12 13.70
MG364,S 23 35 45.10,W 052 12 58.60
MG365,S 23 26 31.90,W 052 15 07.10
MG366,S 23 31 49.60,W 052 17 33.00
MG367,S 23 25 16.60,W 051 44 26.30
MG369,S 23 27 23.60,W 051 55 04.10
MG371,S 23 21 22.00,W 051 49 00.40
MG372,S 23 30 35.10,W 051 46 51.70
MG373,S 23 26 20.20,W 051 49 45.20
MIBEM,S 15 07 02.40,W 041 15 33.00
MIBUK,S 31 26 49.27,W 054 38 41.49
MICA,S 31 27 46.80,W 053 43 45.60
MICAL,S 00 15 07.80,W 051 34 14.40
MICRO,S 04 42 12.60,W 043 23 11.40
MIDAX,S 15 50 52.17,W 047 43 31.58
MIDIR,S 06 31 48.00,W 036 05 24.00
MIDIV,S 30 22 27.31,W 051 48 36.53
MIGAM,S 04 02 04.80,W 069 53 28.80
MIGEX,S 23 34 53.00,W 039 34 09.00
MIGIG,S 22 03 42.81,W 042 41 36.02
MIGIX,S 29 00 29.70,W 051 38 47.69
MIGOB,S 01 39 49.05,W 067 07 31.64
MIKEM,S 21 18 46.06,W 041 07 03.78
MIKOG,S 30 08 13.00,W 051 17 12.60
MIKUV,S 14 14 39.60,W 041 35 42.00
MIKUX,S 19 53 46.00,W 045 31 36.00
MILED,S 20 10 51.00,W 040 59 52.20
MILIG,S 23 14 54.60,W 040 15 04.20
MILIL,S 22 07 00.96,W 046 25 13.72
MILIX,S 15 20 00.00,W 048 46 39.00
MILOG,S 22 35 17.40,W 040 42 10.20
MILOL,S 17 54 02.40,W 044 04 01.80
MILTA,S 17 08 08.40,W 041 30 29.40
MILUG,S 25 34 36.00,W 044 12 22.80
MIMER,S 30 06 05.35,W 051 46 42.59
MIMIR,S 20 48 27.60,W 040 40 29.40
MIMUM,S 06 31 12.00,W 062 25 52.80
MINAB,S 29 43 56.73,W 053 26 46.77
MINCE,S 22 49 01.80,W 048 23 06.00
MINEG,S 01 43 37.80,W 048 47 49.20
MINIB,S 02 18 57.00,W 067 00 16.20
MINIG,S 19 08 09.00,W 039 05 55.20
MINIK,S 22 47 24.00,W 039 47 28.80
MINOD,S 22 14 34.20,W 040 34 11.40
MINOT,S 24 09 13.20,W 049 38 22.20
MINUB,S 21 42 33.60,W 039 35 42.00
MINUG,S 04 37 45.00,W 059 36 27.00
MINUX,S 22 02 34.74,W 043 46 05.67
MIPAB,S 19 06 26.14,W 043 31 54.01
MIPAD,S 14 33 45.00,W 053 37 36.00
MIRAN,S 21 57 33.84,W 041 14 36.34
MK001,S 16 35 16.80,W 044 01 29.40
MK002,S 16 42 50.40,W 043 45 27.00
MK003,S 16 41 59.40,W 043 52 49.80
MK004,S 16 41 08.40,W 044 00 04.20
MK006,S 16 41 45.00,W 043 54 54.00
MK007,S 16 49 33.00,W 043 36 47.40
MK008,S 16 44 16.20,W 043 33 01.80
MK009,S 16 38 18.00,W 043 35 22.80
MK011,S 16 43 40.80,W 043 38 12.60
MK012,S 16 43 04.80,W 043 43 22.80
MK013,S 16 40 32.40,W 044 05 14.40
MK014,S 16 46 31.20,W 044 02 53.40
MK016,S 16 42 43.34,W 043 46 28.85
MK017,S 16 41 58.67,W 043 52 56.40
MK021,S 16 41 26.71,W 043 57 29.12
ML001,S 22 22 43.80,W 050 40 36.00
ML002,S 22 26 54.60,W 049 59 24.60
ML003,S 22 25 19.20,W 049 52 45.00
ML004,S 22 22 01.20,W 049 58 10.20
ML006,S 22 17 08.40,W 049 56 56.40
ML007,S 22 01 35.40,W 049 53 00.60
ML008,S 21 58 17.40,W 049 58 24.60
ML009,S 21 56 42.60,W 049 51 46.80
ML011,S 22 00 53.40,W 049 46 36.00
ML012,S 22 06 28.80,W 049 54 14.40
MM001,S 22 30 48.80,W 040 05 13.54
MM002,S 22 29 15.72,W 040 18 04.61
MM003,S 22 15 19.85,W 040 14 37.04
MM004,S 22 14 08.80,W 040 01 44.65
MM013,S 22 23 10.64,W 040 16 56.34
MM014,S 22 23 16.62,W 040 12 37.45
MM015,S 22 23 21.04,W 040 09 23.28
MM016,S 22 23 25.67,W 040 05 56.16
MM017,S 22 23 32.77,W 040 00 32.52
MNS01,S 02 51 16.19,W 059 39 46.41
MNS03,S 02 50 41.59,W 059 53 29.85
MNS04,S 02 47 10.87,W 060 01 47.70
MNS05,S 02 47 11.91,W 060 04 56.44
MNS06,S 02 47 24.47,W 060 06 16.99
MNS07,S 02 48 27.16,W 060 09 31.33
MNS08,S 02 54 02.77,W 060 16 01.55
