Fix,Latitude,Longitude
BIVBI,S 19 08 32.17,W 044 09 22.03
BIVEG,S 24 42 39.89,W 050 46 03.38
BIVEL,S 09 54 42.66,W 067 57 38.56
BIVOX,S 23 01 37.10,W 047 15 51.60
BIVUB,S 27 25 51.26,W 052 34 33.64
BIVUR,S 22 47 54.60,W 041 00 45.00
BIVUT,N 01 12 10.20,W 063 21 09.60
BIVUV,S 09 31 43.20,W 055 22 46.20
BIXAR,S 03 15 04.20,W 044 23 30.00
BIXEM,S 18 46 34.80,W 048 54 07.80
BIXIG,S 25 32 46.73,W 049 35 04.71
BI001,S 25 24 21.31,W 049 06 47.35
BI002,S 25 29 19.80,W 049 11 46.80
BI004,S 25 28 44.40,W 049 02 39.60
BI005,S 25 31 51.00,W 049 08 20.40
BI007,S 25 35 00.00,W 049 04 01.80
BI008,S 25 12 28.80,W 049 18 55.20
BI009,S 25 50 15.00,W 048 45 53.00
BI012,S 25 01 03.05,W 049 28 27.72
BI013,S 25 10 02.36,W 049 19 57.09
BI014,S 25 01 19.70,W 049 04 51.55
BI016,S 24 57 08.57,W 049 24 11.75
BI017,S 25 10 49.23,W 049 30 06.97
BI018,S 25 16 21.51,W 049 12 22.88
BI019,S 25 19 11.94,W 049 12 52.57
BI021,S 25 07 06.24,W 049 06 27.26
BI022,S 25 10 52.09,W 049 49 17.65
BI023,S 25 16 12.46,W 048 55 15.62
BI024,S 25 25 25.95,W 048 38 12.59
BI026,S 25 08 55.73,W 049 45 05.67
BI027,S 25 26 49.15,W 049 26 22.85
BI028,S 26 13 47.63,W 049 06 51.33
BI029,S 25 18 25.60,W 049 28 46.61
BI031,S 25 52 07.48,W 048 59 05.13
BI032,S 25 03 07.25,W 049 14 59.81
BI033,S 26 04 38.18,W 049 08 57.84
BI034,S 25 22 10.27,W 049 13 23.65
BLESS,S 15 23 30.60,W 039 52 51.00
BLIND,S 29 40 34.20,W 056 39 25.20
BLOCK,S 13 49 44.40,W 038 43 36.60
BLUES,S 15 19 47.40,W 046 31 09.00
BOBAB,S 23 16 44.14,W 046 38 58.74
BOBAS,S 09 02 49.20,W 071 16 10.20
BOBAV,S 04 08 03.67,W 037 59 11.39
BOBON,S 03 04 02.46,W 035 23 41.23
BOCAS,S 23 03 36.22,W 047 03 39.31
BODAK,N 01 35 55.20,W 029 59 46.80
BODIT,S 16 45 37.60,W 047 51 03.96
BODOP,S 27 28 53.36,W 048 29 38.91
BOGED,S 21 36 13.16,W 042 34 44.03
BOGIG,S 25 33 00.47,W 049 40 18.65
BOGOV,S 22 08 54.99,W 046 20 01.38
BOGUR,S 08 44 55.80,W 064 01 15.60
BOKAM,S 03 26 31.46,W 040 08 36.48
BOKIL,S 29 06 49.20,W 056 34 12.00
BOKUB,S 19 02 22.80,W 044 03 17.40
BOLAS,S 23 37 59.36,W 050 00 31.58
BOLEN,S 19 31 53.47,W 044 03 47.58
BOLIP,S 24 47 45.60,W 049 49 55.80
BOLIR,S 24 52 51.60,W 054 31 37.80
BOLOP,S 15 28 08.40,W 052 38 26.40
